hq_name,dist_name,elo_score
A0001.bmp,A0001_00_00.bmp,1520.0648
A0001.bmp,A0001_00_01.bmp,1437.0798
A0001.bmp,A0001_00_02.bmp,1546.0616
A0001.bmp,A0001_00_03.bmp,1539.5688
A0001.bmp,A0001_00_04.bmp,1411.7958
A0001.bmp,A0001_00_05.bmp,1610.9721
A0001.bmp,A0001_00_06.bmp,1575.9760
A0001.bmp,A0001_00_07.bmp,1448.3310
A0001.bmp,A0001_00_08.bmp,1524.5227
A0001.bmp,A0001_00_09.bmp,1461.2762
A0001.bmp,A0001_00_10.bmp,1424.5617
A0001.bmp,A0001_00_11.bmp,1531.7810
A0001.bmp,A0001_01_00.bmp,1586.7071
A0001.bmp,A0001_01_01.bmp,1511.6000
A0001.bmp,A0001_01_02.bmp,1481.4167
A0001.bmp,A0001_01_03.bmp,1575.4945
A0001.bmp,A0001_01_04.bmp,1476.3725
A0001.bmp,A0001_01_05.bmp,1465.4315
A0001.bmp,A0001_01_06.bmp,1604.9029
A0001.bmp,A0001_01_07.bmp,1516.9305
A0001.bmp,A0001_01_08.bmp,1461.1111
A0001.bmp,A0001_01_09.bmp,1611.2134
A0001.bmp,A0001_01_10.bmp,1549.3926
A0001.bmp,A0001_01_11.bmp,1496.5623
A0001.bmp,A0001_01_12.bmp,1566.9786
A0001.bmp,A0001_01_13.bmp,1520.0873
A0001.bmp,A0001_01_14.bmp,1453.4077
A0001.bmp,A0001_01_15.bmp,1316.6042
A0001.bmp,A0001_02_00.bmp,1544.7361
A0001.bmp,A0001_02_01.bmp,1479.7630
A0001.bmp,A0001_02_02.bmp,1531.7070
A0001.bmp,A0001_02_03.bmp,1593.3177
A0001.bmp,A0001_02_04.bmp,1630.4493
A0001.bmp,A0001_02_05.bmp,1468.6587
A0001.bmp,A0001_02_06.bmp,1452.2635
A0001.bmp,A0001_02_07.bmp,1419.2962
A0001.bmp,A0001_02_08.bmp,1467.7863
A0001.bmp,A0001_02_09.bmp,1648.4733
A0001.bmp,A0001_03_00.bmp,1436.4545
A0001.bmp,A0001_03_01.bmp,1458.5881
A0001.bmp,A0001_03_02.bmp,1415.5105
A0001.bmp,A0001_03_03.bmp,1538.8832
A0001.bmp,A0001_03_04.bmp,1556.9272
A0001.bmp,A0001_03_05.bmp,1476.9873
A0001.bmp,A0001_03_06.bmp,1569.1729
A0001.bmp,A0001_03_07.bmp,1502.1847
A0001.bmp,A0001_03_08.bmp,1587.5296
A0001.bmp,A0001_03_09.bmp,1552.0743
A0001.bmp,A0001_03_10.bmp,1538.6814
A0001.bmp,A0001_03_11.bmp,1504.5145
A0001.bmp,A0001_03_12.bmp,1522.6538
A0001.bmp,A0001_03_13.bmp,1458.2145
A0001.bmp,A0001_03_14.bmp,1547.6724
A0001.bmp,A0001_03_15.bmp,1535.8348
A0001.bmp,A0001_03_16.bmp,1439.0394
A0001.bmp,A0001_03_17.bmp,1518.2302
A0001.bmp,A0001_03_18.bmp,1496.0894
A0001.bmp,A0001_03_19.bmp,1514.1802
A0001.bmp,A0001_03_20.bmp,1375.7528
A0001.bmp,A0001_03_21.bmp,1357.5142
A0001.bmp,A0001_03_22.bmp,1382.6152
A0001.bmp,A0001_03_23.bmp,1249.3100
A0001.bmp,A0001_04_00.bmp,1472.5852
A0001.bmp,A0001_04_01.bmp,1444.1955
A0001.bmp,A0001_04_02.bmp,1516.9249
A0001.bmp,A0001_04_03.bmp,1477.2269
A0001.bmp,A0001_04_04.bmp,1318.0293
A0001.bmp,A0001_04_05.bmp,1481.2997
A0001.bmp,A0001_04_06.bmp,1357.5061
A0001.bmp,A0001_04_07.bmp,1282.0638
A0001.bmp,A0001_04_08.bmp,1511.5047
A0001.bmp,A0001_04_09.bmp,1406.6489
A0001.bmp,A0001_04_10.bmp,1287.6819
A0001.bmp,A0001_04_11.bmp,1446.1554
A0001.bmp,A0001_04_12.bmp,1570.9820
A0001.bmp,A0001_05_00.bmp,1444.3378
A0001.bmp,A0001_05_01.bmp,1228.5922
A0001.bmp,A0001_05_02.bmp,1291.1351
A0001.bmp,A0001_05_03.bmp,1095.0250
A0001.bmp,A0001_05_04.bmp,1425.7449
A0001.bmp,A0001_05_05.bmp,1242.4201
A0001.bmp,A0001_05_06.bmp,1372.6331
A0001.bmp,A0001_05_07.bmp,1178.5314
A0001.bmp,A0001_05_08.bmp,1310.4339
A0001.bmp,A0001_05_09.bmp,1301.2492
A0001.bmp,A0001_05_10.bmp,1462.6314
A0001.bmp,A0001_05_11.bmp,1444.7098
A0001.bmp,A0001_05_12.bmp,1490.8838
A0001.bmp,A0001_05_13.bmp,1308.2832
A0001.bmp,A0001_06_00.bmp,1529.7369
A0001.bmp,A0001_06_01.bmp,1393.2487
A0001.bmp,A0001_06_02.bmp,1435.6947
A0001.bmp,A0001_06_03.bmp,1464.0109
A0001.bmp,A0001_06_04.bmp,1244.0279
A0001.bmp,A0001_06_05.bmp,1436.8015
A0001.bmp,A0001_06_06.bmp,1187.1072
A0001.bmp,A0001_06_07.bmp,1280.6660
A0001.bmp,A0001_06_08.bmp,1490.2756
A0001.bmp,A0001_06_09.bmp,1301.2428
A0001.bmp,A0001_06_10.bmp,1231.7246
A0001.bmp,A0001_06_11.bmp,1413.2745
A0001.bmp,A0001_06_12.bmp,1397.8305
