ref_name,dist_name,dmos
1600.png,1600.AWGN.1.png,0.061989
1600.png,1600.AWGN.2.png,0.206245
1600.png,1600.AWGN.3.png,0.262122
1600.png,1600.AWGN.4.png,0.374632
1600.png,1600.AWGN.5.png,0.467480
aerial_city.png,aerial_city.AWGN.1.png,0.031592
aerial_city.png,aerial_city.AWGN.2.png,0.125135
aerial_city.png,aerial_city.AWGN.3.png,0.244957
aerial_city.png,aerial_city.AWGN.4.png,0.372947
aerial_city.png,aerial_city.AWGN.5.png,0.501263
boston.png,boston.AWGN.1.png,0.029159
boston.png,boston.AWGN.2.png,0.081368
boston.png,boston.AWGN.3.png,0.215496
boston.png,boston.AWGN.4.png,0.383116
boston.png,boston.AWGN.5.png,0.471591
bridge.png,bridge.AWGN.1.png,0.027782
bridge.png,bridge.AWGN.2.png,0.087857
bridge.png,bridge.AWGN.3.png,0.251788
bridge.png,bridge.AWGN.4.png,0.408695
bridge.png,bridge.AWGN.5.png,0.517009
butter_flower.png,butter_flower.AWGN.1.png,0.026574
butter_flower.png,butter_flower.AWGN.2.png,0.089165
butter_flower.png,butter_flower.AWGN.3.png,0.252299
butter_flower.png,butter_flower.AWGN.4.png,0.434892
butter_flower.png,butter_flower.AWGN.5.png,0.545271
cactus.png,cactus.AWGN.1.png,0.104329
cactus.png,cactus.AWGN.2.png,0.205708
cactus.png,cactus.AWGN.3.png,0.349438
cactus.png,cactus.AWGN.4.png,0.439167
cactus.png,cactus.AWGN.5.png,0.498391
child_swimming.png,child_swimming.AWGN.1.png,0.028457
child_swimming.png,child_swimming.AWGN.2.png,0.120207
child_swimming.png,child_swimming.AWGN.3.png,0.271600
child_swimming.png,child_swimming.AWGN.4.png,0.412687
child_swimming.png,child_swimming.AWGN.5.png,0.488561
couple.png,couple.AWGN.1.png,0.005539
couple.png,couple.AWGN.2.png,0.109029
couple.png,couple.AWGN.3.png,0.204356
couple.png,couple.AWGN.4.png,0.325231
couple.png,couple.AWGN.5.png,0.469608
elk.png,elk.AWGN.1.png,0.033320
elk.png,elk.AWGN.2.png,0.065236
elk.png,elk.AWGN.3.png,0.171903
elk.png,elk.AWGN.4.png,0.236539
elk.png,elk.AWGN.5.png,0.357941
family.png,family.AWGN.1.png,0.087792
family.png,family.AWGN.2.png,0.149679
family.png,family.AWGN.3.png,0.274742
family.png,family.AWGN.4.png,0.375346
family.png,family.AWGN.5.png,0.479589
fisher.png,fisher.AWGN.1.png,0.052354
fisher.png,fisher.AWGN.2.png,0.130219
fisher.png,fisher.AWGN.3.png,0.216470
fisher.png,fisher.AWGN.4.png,0.312143
fisher.png,fisher.AWGN.5.png,0.440315
foxy.png,foxy.AWGN.1.png,0.013529
foxy.png,foxy.AWGN.2.png,0.063617
foxy.png,foxy.AWGN.3.png,0.136469
foxy.png,foxy.AWGN.4.png,0.250446
foxy.png,foxy.AWGN.5.png,0.381163
geckos.png,geckos.AWGN.1.png,0.028506
geckos.png,geckos.AWGN.2.png,0.060272
geckos.png,geckos.AWGN.3.png,0.116695
geckos.png,geckos.AWGN.4.png,0.201859
geckos.png,geckos.AWGN.5.png,0.336186
lady_liberty.png,lady_liberty.AWGN.1.png,0.032476
lady_liberty.png,lady_liberty.AWGN.2.png,0.151055
lady_liberty.png,lady_liberty.AWGN.3.png,0.254612
lady_liberty.png,lady_liberty.AWGN.4.png,0.384169
lady_liberty.png,lady_liberty.AWGN.5.png,0.487483
lake.png,lake.AWGN.1.png,0.022140
lake.png,lake.AWGN.2.png,0.136921
lake.png,lake.AWGN.3.png,0.295296
lake.png,lake.AWGN.4.png,0.437237
lake.png,lake.AWGN.5.png,0.536122
log_seaside.png,log_seaside.AWGN.1.png,0.000000
log_seaside.png,log_seaside.AWGN.2.png,0.056561
log_seaside.png,log_seaside.AWGN.3.png,0.131855
log_seaside.png,log_seaside.AWGN.4.png,0.267465
log_seaside.png,log_seaside.AWGN.5.png,0.441762
monument.png,monument.AWGN.1.png,0.012407
monument.png,monument.AWGN.2.png,0.081070
monument.png,monument.AWGN.3.png,0.183266
monument.png,monument.AWGN.4.png,0.324758
monument.png,monument.AWGN.5.png,0.467743
native_american.png,native_american.AWGN.1.png,0.040322
native_american.png,native_american.AWGN.2.png,0.069080
native_american.png,native_american.AWGN.3.png,0.223948
native_american.png,native_american.AWGN.4.png,0.401099
native_american.png,native_american.AWGN.5.png,0.476060
redwood.png,redwood.AWGN.1.png,0.050866
redwood.png,redwood.AWGN.2.png,0.187574
redwood.png,redwood.AWGN.3.png,0.322696
redwood.png,redwood.AWGN.4.png,0.431555
redwood.png,redwood.AWGN.5.png,0.544838
roping.png,roping.AWGN.1.png,0.002501
roping.png,roping.AWGN.2.png,0.105028
roping.png,roping.AWGN.3.png,0.184517
roping.png,roping.AWGN.4.png,0.381884
roping.png,roping.AWGN.5.png,0.513078
rushmore.png,rushmore.AWGN.1.png,0.032498
rushmore.png,rushmore.AWGN.2.png,0.130996
rushmore.png,rushmore.AWGN.3.png,0.258897
rushmore.png,rushmore.AWGN.4.png,0.381888
rushmore.png,rushmore.AWGN.5.png,0.512603
shroom.png,shroom.AWGN.1.png,0.031449
shroom.png,shroom.AWGN.2.png,0.135602
shroom.png,shroom.AWGN.3.png,0.236730
shroom.png,shroom.AWGN.4.png,0.355141
shroom.png,shroom.AWGN.5.png,0.463235
snow_leaves.png,snow_leaves.AWGN.1.png,0.018848
snow_leaves.png,snow_leaves.AWGN.2.png,0.063487
snow_leaves.png,snow_leaves.AWGN.3.png,0.211740
snow_leaves.png,snow_leaves.AWGN.4.png,0.293439
snow_leaves.png,snow_leaves.AWGN.5.png,0.434127
sunsetcolor.png,sunsetcolor.AWGN.1.png,0.039306
sunsetcolor.png,sunsetcolor.AWGN.2.png,0.205564
sunsetcolor.png,sunsetcolor.AWGN.3.png,0.302095
sunsetcolor.png,sunsetcolor.AWGN.4.png,0.409396
sunsetcolor.png,sunsetcolor.AWGN.5.png,0.515154
sunset_sparrow.png,sunset_sparrow.AWGN.1.png,0.042131
sunset_sparrow.png,sunset_sparrow.AWGN.2.png,0.179278
sunset_sparrow.png,sunset_sparrow.AWGN.3.png,0.325552
sunset_sparrow.png,sunset_sparrow.AWGN.4.png,0.457659
sunset_sparrow.png,sunset_sparrow.AWGN.5.png,0.548982
swarm.png,swarm.AWGN.1.png,0.035196
swarm.png,swarm.AWGN.2.png,0.165720
swarm.png,swarm.AWGN.3.png,0.321872
swarm.png,swarm.AWGN.4.png,0.419232
swarm.png,swarm.AWGN.5.png,0.577175
trolley.png,trolley.AWGN.1.png,0.028644
trolley.png,trolley.AWGN.2.png,0.090283
trolley.png,trolley.AWGN.3.png,0.219874
trolley.png,trolley.AWGN.4.png,0.341872
trolley.png,trolley.AWGN.5.png,0.450259
turtle.png,turtle.AWGN.1.png,0.019981
turtle.png,turtle.AWGN.2.png,0.119220
turtle.png,turtle.AWGN.3.png,0.198715
turtle.png,turtle.AWGN.4.png,0.329355
turtle.png,turtle.AWGN.5.png,0.435649
veggies.png,veggies.AWGN.1.png,0.017592
veggies.png,veggies.AWGN.2.png,0.098451
veggies.png,veggies.AWGN.3.png,0.213596
veggies.png,veggies.AWGN.4.png,0.346756
veggies.png,veggies.AWGN.5.png,0.472459
woman.png,woman.AWGN.1.png,0.051841
woman.png,woman.AWGN.2.png,0.197147
woman.png,woman.AWGN.3.png,0.288616
woman.png,woman.AWGN.4.png,0.409103
woman.png,woman.AWGN.5.png,0.489830
1600.png,1600.JPEG.1.png,0.012873
1600.png,1600.JPEG.2.png,0.069148
1600.png,1600.JPEG.3.png,0.196827
1600.png,1600.JPEG.4.png,0.501063
1600.png,1600.JPEG.5.png,0.687127
aerial_city.png,aerial_city.JPEG.1.png,0.030282
aerial_city.png,aerial_city.JPEG.2.png,0.064545
aerial_city.png,aerial_city.JPEG.3.png,0.388892
aerial_city.png,aerial_city.JPEG.4.png,0.607260
aerial_city.png,aerial_city.JPEG.5.png,0.819082
boston.png,boston.JPEG.1.png,0.000000
boston.png,boston.JPEG.2.png,0.049884
boston.png,boston.JPEG.3.png,0.328492
boston.png,boston.JPEG.4.png,0.736937
boston.png,boston.JPEG.5.png,0.832481
bridge.png,bridge.JPEG.1.png,0.037193
bridge.png,bridge.JPEG.2.png,0.075837
bridge.png,bridge.JPEG.3.png,0.272774
bridge.png,bridge.JPEG.4.png,0.743116
bridge.png,bridge.JPEG.5.png,0.816164
butter_flower.png,butter_flower.JPEG.1.png,0.023259
butter_flower.png,butter_flower.JPEG.2.png,0.030891
butter_flower.png,butter_flower.JPEG.3.png,0.409916
butter_flower.png,butter_flower.JPEG.4.png,0.699413
butter_flower.png,butter_flower.JPEG.5.png,0.808089
cactus.png,cactus.JPEG.1.png,0.040969
cactus.png,cactus.JPEG.2.png,0.160464
cactus.png,cactus.JPEG.3.png,0.378421
cactus.png,cactus.JPEG.4.png,0.704142
cactus.png,cactus.JPEG.5.png,0.811723
child_swimming.png,child_swimming.JPEG.1.png,0.028860
child_swimming.png,child_swimming.JPEG.2.png,0.029868
child_swimming.png,child_swimming.JPEG.3.png,0.235530
child_swimming.png,child_swimming.JPEG.4.png,0.514454
child_swimming.png,child_swimming.JPEG.5.png,0.695730
couple.png,couple.JPEG.1.png,0.002154
couple.png,couple.JPEG.2.png,0.033951
couple.png,couple.JPEG.3.png,0.258088
couple.png,couple.JPEG.4.png,0.586040
couple.png,couple.JPEG.5.png,0.723660
elk.png,elk.JPEG.1.png,0.032371
elk.png,elk.JPEG.2.png,0.068200
elk.png,elk.JPEG.3.png,0.219959
elk.png,elk.JPEG.4.png,0.549672
elk.png,elk.JPEG.5.png,0.710220
family.png,family.JPEG.1.png,0.022005
family.png,family.JPEG.2.png,0.134202
family.png,family.JPEG.3.png,0.646726
family.png,family.JPEG.4.png,0.761771
family.png,family.JPEG.5.png,0.846264
fisher.png,fisher.JPEG.1.png,0.008109
fisher.png,fisher.JPEG.2.png,0.180489
fisher.png,fisher.JPEG.3.png,0.517848
fisher.png,fisher.JPEG.4.png,0.724555
fisher.png,fisher.JPEG.5.png,0.790682
foxy.png,foxy.JPEG.1.png,0.016044
foxy.png,foxy.JPEG.2.png,0.074939
foxy.png,foxy.JPEG.3.png,0.154162
foxy.png,foxy.JPEG.4.png,0.322037
foxy.png,foxy.JPEG.5.png,0.551065
geckos.png,geckos.JPEG.1.png,0.021995
geckos.png,geckos.JPEG.2.png,0.046741
geckos.png,geckos.JPEG.3.png,0.134775
geckos.png,geckos.JPEG.4.png,0.462546
geckos.png,geckos.JPEG.5.png,0.734366
lady_liberty.png,lady_liberty.JPEG.1.png,0.016972
lady_liberty.png,lady_liberty.JPEG.2.png,0.273514
lady_liberty.png,lady_liberty.JPEG.3.png,0.531660
lady_liberty.png,lady_liberty.JPEG.4.png,0.654502
lady_liberty.png,lady_liberty.JPEG.5.png,0.770318
lake.png,lake.JPEG.1.png,0.020702
lake.png,lake.JPEG.2.png,0.078837
lake.png,lake.JPEG.3.png,0.155843
lake.png,lake.JPEG.4.png,0.429371
lake.png,lake.JPEG.5.png,0.729901
log_seaside.png,log_seaside.JPEG.1.png,0.000208
log_seaside.png,log_seaside.JPEG.2.png,0.009289
log_seaside.png,log_seaside.JPEG.3.png,0.037806
log_seaside.png,log_seaside.JPEG.4.png,0.269258
log_seaside.png,log_seaside.JPEG.5.png,0.638936
monument.png,monument.JPEG.1.png,0.015565
monument.png,monument.JPEG.2.png,0.063270
monument.png,monument.JPEG.3.png,0.323963
monument.png,monument.JPEG.4.png,0.567924
monument.png,monument.JPEG.5.png,0.765559
native_american.png,native_american.JPEG.1.png,0.022606
native_american.png,native_american.JPEG.2.png,0.091709
